epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3326.43,1.17104,0.94193,0.97101,0.72151,0.66674,0.70396,0.40257,1.32143,1.03861,1.05657,0.000539275,0.000539275,0.000539275
43,3400.58,1.18422,0.90533,0.97507,0.70413,0.71667,0.72976,0.41656,1.30757,1.00226,1.04572,0.000511769,0.000511769,0.000511769
44,3474.98,1.16022,0.90472,0.96075,0.69656,0.71943,0.74939,0.42953,1.28001,0.95951,1.03884,0.000484263,0.000484263,0.000484263
45,3552.07,1.16301,0.9004,0.96276,0.73388,0.71908,0.74826,0.43681,1.26728,0.95439,1.03791,0.000456758,0.000456758,0.000456758
46,3629.42,1.16707,0.91256,0.9639,0.73121,0.7131,0.74272,0.43076,1.25915,0.98625,1.03446,0.000429253,0.000429253,0.000429253
47,3704.05,1.14282,0.85514,0.95697,0.78087,0.70111,0.75839,0.44479,1.24752,0.95758,1.03014,0.000401747,0.000401747,0.000401747
48,3778.66,1.15772,0.87507,0.96983,0.76065,0.71073,0.76617,0.45297,1.25125,0.96476,1.03395,0.000374242,0.000374242,0.000374242
49,3854.14,1.16128,0.89219,0.96632,0.76794,0.7213,0.7548,0.44322,1.26821,0.94117,1.03876,0.000346736,0.000346736,0.000346736
50,3935.17,1.14105,0.86131,0.95292,0.71387,0.72872,0.74679,0.43657,1.28083,0.95908,1.04599,0.000319231,0.000319231,0.000319231
51,4016.17,1.12014,0.92617,0.96246,0.74335,0.70304,0.74729,0.43263,1.30467,0.94912,1.04555,0.000291725,0.000291725,0.000291725
52,4095.02,1.15728,0.93312,0.95669,0.76982,0.68645,0.74761,0.43618,1.27852,0.95058,1.033,0.00026422,0.00026422,0.00026422
53,4173.52,1.08108,0.88336,0.95706,0.75334,0.71213,0.74495,0.4358,1.27242,0.97277,1.03004,0.000236714,0.000236714,0.000236714
54,4254.02,1.11259,0.87719,0.96411,0.74744,0.72671,0.74017,0.43151,1.26955,0.9828,1.03183,0.000209209,0.000209209,0.000209209
55,4333.34,1.08696,0.80936,0.94046,0.7431,0.72653,0.75224,0.44524,1.25867,0.93658,1.03058,0.000181703,0.000181703,0.000181703
56,4413.72,1.09531,0.82365,0.93976,0.76304,0.71811,0.76139,0.45413,1.24831,0.91221,1.02844,0.000154198,0.000154198,0.000154198
57,4493.83,1.06015,0.79791,0.94656,0.77568,0.72284,0.76563,0.45616,1.2336,0.90681,1.02501,0.000126692,0.000126692,0.000126692
58,4574.85,1.07351,0.81144,0.94932,0.77633,0.71092,0.7646,0.4553,1.23667,0.91275,1.02514,9.91865e-05,9.91865e-05,9.91865e-05
59,4653.62,1.07248,0.81703,0.94141,0.75169,0.71869,0.76366,0.45482,1.24168,0.91507,1.02424,7.1681e-05,7.1681e-05,7.1681e-05
60,4733.84,1.04713,0.78883,0.93313,0.76682,0.71764,0.76624,0.45087,1.2449,0.912,1.02371,4.41755e-05,4.41755e-05,4.41755e-05
